index,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,absolute_magnitude,hazardous
9284,3634621,32266877.06293845,(2013 GY68),0.2016299194,0.4508582062,25820.4712663655,20.6,False
9285,3634712,35184469.660957195,(2013 GH69),0.063760979,0.1425738833,22512.705622559,23.1,False
9286,3634713,2984327.773991917,(2013 GJ69),0.0133215567,0.0297879063,29174.4056302967,26.5,False
9287,3634714,5192060.990869654,(2013 GK69),0.046190746,0.1032856481,37239.9697681963,23.8,False
9288,3634781,71412835.86177734,(2013 GZ73),0.4023045798,0.8995803882,88909.1959673794,19.1,True
9289,3634782,4946183.367877206,(2013 GT79),0.0421264611,0.0941976306,54936.6229846134,24.0,False
9290,3634783,40260953.17751865,(2013 GU79),0.1332155667,0.2978790628,6469.2791372818,21.5,False
9291,3634784,4772088.397871096,(2013 GV79),0.0555334912,0.1241766613,54880.6761090634,23.4,False
9292,3634785,30743480.82827399,(2013 GW79),0.0667659413,0.1492931834,27956.9483036275,23.0,False
9293,3634786,47478023.38572152,(2013 GX79),0.1838886721,0.411187571,53707.8755906777,20.8,False
9294,3634847,5903856.123569096,(2013 GA80),0.1332155667,0.2978790628,60834.4255664496,21.5,True
9295,3634848,46482101.95526079,(2013 GZ79),0.2783267681,0.6223575734,29609.3942524313,19.9,False
9296,3634888,37983682.23313095,(2013 GE84),0.3300311834,0.7379721607,73871.9723689531,19.53,False
9297,3634889,10847018.990772706,(2013 GF84),0.02658,0.0594346868,29728.9371664933,25.0,False
9298,3634904,4535818.458722806,(2013 GH84),0.1925550782,0.4305662442,36486.2206191409,20.7,True
9299,3634905,2838523.406779377,(2013 HO),0.0175612318,0.0392681082,18388.0571756729,25.9,False
9300,3634906,8138829.78115279,(2013 HR),0.0483676488,0.1081533507,50711.7085292747,23.7,False
9301,3634907,17627198.94189361,(2013 HQ),0.1058168859,0.2366137501,92218.9490154644,22.0,False
9302,3635071,29157419.407207143,(2013 HK11),0.1925550782,0.4305662442,139109.6472390212,20.7,False
9303,3635072,24184603.45964916,(2013 HL11),0.058150704,0.130028927,62037.086562378,23.3,False
9304,3635073,20065780.65615105,(2013 HM11),0.063760979,0.1425738833,56659.9148852713,23.1,False
9305,3635074,27045690.33916596,(2013 HN11),0.1058168859,0.2366137501,24577.8320131199,22.0,False
9306,3635075,4905994.947286796,(2013 HP11),0.022108281,0.0494356193,9555.2838973056,25.4,False
9307,3635076,12836331.433642697,(2013 HS11),0.0766575574,0.1714115092,36959.2296197828,22.7,False
9308,3635077,9474858.28895092,(2013 HO11),0.0667659413,0.1492931834,18377.9907151452,23.0,False
9309,3635078,56090584.59220544,(2013 HR11),0.2914439045,0.6516883822,11615.8376313333,19.8,False
9310,3635121,847100.422199642,(2013 HT14),0.0146067964,0.0326617897,76147.7337798674,26.3,False
9311,3635122,6777281.641987526,(2013 HU14),0.0384197891,0.0859092601,30130.6317468871,24.2,False
9312,3635123,46865734.069121286,(2013 HV14),0.160160338,0.358129403,51583.3133137906,21.1,False
9313,3635331,6665343.27050516,(2013 HT15),0.1214940408,0.2716689341,44156.5944279455,21.7,True
9314,3636250,9573372.22629267,(2013 HG19),0.022108281,0.0494356193,27186.1751557254,25.4,False
9315,3636251,6546956.90171048,(2013 HH19),0.0291443905,0.0651688382,45638.9972454535,24.8,False
9316,3636252,31389496.072118714,(2013 HJ19),0.1332155667,0.2978790628,56438.0368502782,21.5,False
9317,3636713,10351163.312050471,(2013 HG20),0.1677084622,0.3750075218,38076.3106585567,21.0,False
9318,3636714,4185775.599492766,(2013 JC),0.0160160338,0.0358129403,19607.5957500163,26.1,False
9319,3636861,26463243.927657347,(2013 JE1),0.3841978911,0.8590926012,76803.0720007954,19.2,False
9320,3636862,3808152.577753786,(2013 JF1),0.0278326768,0.0622357573,23713.6743781131,24.9,False
9321,3637424,8468163.20884725,(2013 JY2),0.0840533402,0.1879489824,66299.0824389373,22.5,False
9322,3637425,29021684.861578766,(2013 JX2),0.1925550782,0.4305662442,35860.0703441833,20.7,False
9323,3637724,37328631.59209374,(2013 JO4),0.2210828104,0.4943561926,59976.3844808413,20.4,False
9324,3637725,5788268.31204808,(2013 JP4),0.0319561887,0.0714562102,38945.1083969668,24.6,False
9325,3638201,53880.978993427,(2013 HT25),0.0046190746,0.0103285648,107351.4268653037,28.8,False
9326,3638237,21944984.294528987,(2013 JN7),0.1732028271,0.3872932954,51186.0784420105,20.93,True
9327,3638238,1310201.063853684,(2013 JO7),0.0167708462,0.0375007522,20777.8465975577,26.0,False
9328,3638240,3552201.004275964,(2013 JR7),0.0116025908,0.0259441818,25114.1747164023,26.8,False
9329,3638241,14117608.542200588,(2013 JS7),0.0555334912,0.1241766613,26640.164863424,23.4,False
9330,3638285,16681103.086647838,(2013 JH14),0.096506147,0.2157943048,54785.0856971336,22.2,False
9331,3638286,8772679.771088475,(2013 JK14),0.0278326768,0.0622357573,44599.8704367834,24.9,False
9332,3638287,5826522.776254491,(2013 JL14),0.0334622374,0.0748238376,51179.0405989097,24.5,False
9333,3638288,21810069.859383736,(2013 JM14),0.1272198785,0.2844722965,36953.4537042059,21.6,True
